# k1 k2 k3 mean_bk mean_bk_smooth
0.005 0.005 0.005 -8.447353869342879951e+07 2.439557021930560470e+07
0.005 0.015 0.015 -5.671001951809340715e+07 3.672232197657819092e+07
0.005 0.025 0.025 6.175234600998824090e+07 3.375957169884777814e+07
0.005 0.035 0.035 5.318296617291130126e+07 2.895469392849094421e+07
0.005 0.045 0.045 3.890322394972333312e+07 2.443942078309932724e+07
0.005 0.055 0.055 2.419583266226375103e+07 2.061664128886060789e+07
0.005 0.065 0.065 3.052187251782427728e+07 1.747921568066109717e+07
0.005 0.075 0.075 2.269463883212182671e+07 1.492426367212547548e+07
0.005 0.085 0.085 2.423032916638949886e+07 1.284064879331720620e+07
0.005 0.095 0.095 1.743111543089142442e+07 1.113217793235459179e+07
0.005 0.105 0.105 1.518788533758984320e+07 9.721280595165645704e+06
0.005 0.115 0.115 1.372236699301845022e+07 8.547038236266072839e+06
0.005 0.125 0.125 1.291760429986499995e+07 7.562025374128934927e+06
0.005 0.135 0.135 1.264320737352928333e+07 6.729340483835062943e+06
0.005 0.145 0.145 1.172980467798743770e+07 6.020169404931488447e+06
0.005 0.155 0.155 1.051600716432174668e+07 5.411887711334474385e+06
0.005 0.165 0.165 9.019191751374943182e+06 4.886614914193059318e+06
0.005 0.175 0.175 7.900881172715472989e+06 4.430121900549184531e+06
0.005 0.185 0.185 7.002227271312572993e+06 4.031006308586859610e+06
0.005 0.195 0.195 6.583330452126903459e+06 3.680068547127459664e+06
0.005 0.205 0.205 6.313572034922574647e+06 3.369837453267598525e+06
0.005 0.215 0.215 6.493636468363911845e+06 3.094207620362275746e+06
0.005 0.225 0.225 5.107317552468058653e+06 2.848160339765711222e+06
0.005 0.235 0.235 4.980459713512822054e+06 2.627547453948176466e+06
0.005 0.245 0.245 4.709431214218431152e+06 2.428922816339199431e+06
0.005 0.255 0.255 4.149039513277248945e+06 2.249410000035560690e+06
0.005 0.265 0.265 4.052600596253688447e+06 2.086597784223786090e+06
0.005 0.275 0.275 3.753291666777182836e+06 1.938457064274899894e+06
0.005 0.285 0.285 3.478173608626712579e+06 1.803274390661550453e+06
0.005 0.295 0.295 3.071653579970595893e+06 1.679598495984386886e+06
0.015 0.015 0.015 1.813517858165186271e+07 4.936533335648121685e+07
0.015 0.015 0.025 9.326950638610687852e+07 6.734036932291394472e+07
0.015 0.025 0.025 4.012415962839945406e+07 4.656501833881649375e+07
0.015 0.025 0.035 5.012733338418059051e+07 6.758760783989804983e+07
0.015 0.035 0.035 5.496664049110297114e+07 4.063102367825604975e+07
0.015 0.035 0.045 5.691522706179175526e+07 6.045705021222236753e+07
0.015 0.045 0.045 2.964039347497070953e+07 3.456230105991706997e+07
0.015 0.045 0.055 4.401895197569303215e+07 5.244865549864151329e+07
0.015 0.055 0.055 3.079645596061390266e+07 2.926360446312933415e+07
0.015 0.055 0.065 4.197490579728016257e+07 4.517764182140850276e+07
0.015 0.065 0.065 3.359478467010278255e+07 2.485501796550603211e+07
0.015 0.065 0.075 3.727652113025305420e+07 3.896108458711388707e+07
0.015 0.075 0.075 2.568782405311022326e+07 2.124040667574115843e+07
0.015 0.075 0.085 4.049497874529863149e+07 3.374962477113436162e+07
0.015 0.085 0.085 2.251411101171781495e+07 1.828191538911049068e+07
0.015 0.085 0.095 3.476693847096471488e+07 2.940185632853591815e+07
0.015 0.095 0.095 1.921045174225545302e+07 1.585119851003459282e+07
0.015 0.095 0.105 2.894065847226225957e+07 2.576932415608875826e+07
0.015 0.105 0.105 1.693586746642388031e+07 1.384156552159018815e+07
0.015 0.105 0.115 2.270551324725582078e+07 2.272124403449947387e+07
0.015 0.115 0.115 1.328955908063549362e+07 1.216794115996488556e+07
0.015 0.115 0.125 1.853040404105501622e+07 2.014923723897444829e+07
0.015 0.125 0.125 1.355576015863577835e+07 1.076353034822950140e+07
0.015 0.125 0.135 1.822224918007805943e+07 1.796566374063524231e+07
0.015 0.135 0.135 1.219221144567726180e+07 9.576099381540624425e+06
0.015 0.135 0.145 1.858128710320054367e+07 1.610029525113464333e+07
0.015 0.145 0.145 1.151586188578779623e+07 8.564736322413191199e+06
0.015 0.145 0.155 1.735164163677298650e+07 1.449695380806765705e+07
0.015 0.155 0.155 9.785950458741858602e+06 7.697255181332512759e+06
0.015 0.155 0.165 1.453699977639742941e+07 1.311060967199614085e+07
0.015 0.165 0.165 8.599386886413784698e+06 6.948186969748187810e+06
0.015 0.165 0.175 1.286591526940998062e+07 1.190502409098622017e+07
0.015 0.175 0.175 7.776624602513944730e+06 6.297247296736378223e+06
0.015 0.175 0.185 1.064484103210806847e+07 1.085088579200210795e+07
0.015 0.185 0.185 7.520809891942275688e+06 5.728172914533202536e+06
0.015 0.185 0.195 1.016611600939605571e+07 9.924355158221852034e+06
0.015 0.195 0.195 6.693224272885300219e+06 5.227837941201597452e+06
0.015 0.195 0.205 9.839905867703866214e+06 9.105931575562335551e+06
0.015 0.205 0.205 6.332445367727763951e+06 4.785580279412426986e+06
0.015 0.205 0.215 9.559864991791127250e+06 8.379572106407207437e+06
0.015 0.215 0.215 6.131900333642643876e+06 4.392685698884917423e+06
0.015 0.215 0.225 8.747234097934741527e+06 7.732003986218899488e+06
0.015 0.225 0.225 5.169505100712260231e+06 4.041990379236165434e+06
0.015 0.225 0.235 7.690872513723752461e+06 7.152186209247505292e+06
0.015 0.235 0.235 4.760587274634131230e+06 3.727572796875167638e+06
0.015 0.235 0.245 6.709453467527074739e+06 6.630885878354847431e+06
0.015 0.245 0.245 4.625066357464693487e+06 3.444513334946304560e+06
0.015 0.245 0.255 6.268968855167951435e+06 6.160343135677831247e+06
0.015 0.255 0.255 3.962399694842196070e+06 3.188705520831395406e+06
0.015 0.255 0.265 5.868910806331169792e+06 5.734004730113071389e+06
0.015 0.265 0.265 3.799435635827971622e+06 2.956706859834141564e+06
0.015 0.265 0.275 5.581113324600584805e+06 5.346311011600091122e+06
0.015 0.275 0.275 3.675551574656961486e+06 2.745620226087345276e+06
0.015 0.275 0.285 5.289866674984667450e+06 4.992524719528595917e+06
0.015 0.285 0.285 3.308289109171306714e+06 2.552998981827753596e+06
0.015 0.285 0.295 4.773060941962803714e+06 4.668592634378666058e+06
0.015 0.295 0.295 3.027350620605378877e+06 2.376770635528544430e+06
0.025 0.025 0.025 5.854482602931860834e+07 4.056768028868249059e+07
0.025 0.025 0.035 4.528289072497323155e+07 4.358560648482982814e+07
0.025 0.025 0.045 7.416925660676470399e+07 6.888065918023563921e+07
0.025 0.035 0.035 1.233707480175709911e+07 3.448684263259917498e+07
0.025 0.035 0.045 4.340772153940311074e+07 3.932302105374861509e+07
0.025 0.035 0.055 6.068442658992274106e+07 6.169965303940448165e+07
0.025 0.045 0.045 2.262710553969408199e+07 2.965746545530674979e+07
0.025 0.045 0.055 3.334433524429579079e+07 3.432153869195518643e+07
0.025 0.045 0.065 4.632498872791512311e+07 5.352405450542001426e+07
0.025 0.055 0.055 2.013012216652840003e+07 2.540469453459147364e+07
0.025 0.055 0.065 2.696248749356944486e+07 2.963398264608912915e+07
0.025 0.055 0.075 4.213378346106699854e+07 4.612717709511533380e+07
0.025 0.065 0.065 2.405642813611608371e+07 2.177290548896065354e+07
0.025 0.065 0.075 2.758484095459099859e+07 2.556456940008208156e+07
0.025 0.065 0.085 4.159847839573327452e+07 3.982717757526136190e+07
0.025 0.075 0.075 1.737435872489166260e+07 1.873199843534326926e+07
0.025 0.075 0.085 2.592183403555290774e+07 2.212899542266744748e+07
0.025 0.075 0.095 4.106574705806197971e+07 3.455789043804951757e+07
0.025 0.085 0.085 1.844132469467333332e+07 1.620440190336042456e+07
0.025 0.085 0.095 2.304525674793534353e+07 1.925440754234638810e+07
0.025 0.085 0.105 3.705037635764406621e+07 3.016572003426669165e+07
0.025 0.095 0.095 1.608538915255386755e+07 1.410406589416972548e+07
0.025 0.095 0.105 1.959712011383035779e+07 1.685079845152317733e+07
0.025 0.095 0.115 2.777033015226785839e+07 2.649546136526930705e+07
0.025 0.105 0.105 1.176331607266879268e+07 1.235281994795510545e+07
0.025 0.105 0.115 1.596859575807593390e+07 1.483454422872787900e+07
0.025 0.105 0.125 2.275034180912519991e+07 2.341301854305445775e+07
0.025 0.115 0.115 1.310356672281370126e+07 1.088492813288389705e+07
0.025 0.115 0.125 1.373982051543277502e+07 1.313467643563751504e+07
0.025 0.115 0.135 2.006761992110268772e+07 2.080855219343261421e+07
0.025 0.125 0.125 1.099616334191916697e+07 9.646946647840952501e+06
0.025 0.125 0.135 1.378886885617172904e+07 1.169312397933870554e+07
0.025 0.125 0.145 1.980040282418667153e+07 1.859387446093872935e+07
0.025 0.135 0.135 1.089041990394697897e+07 8.596053016441402957e+06
0.025 0.135 0.145 1.374938997105606087e+07 1.046307735307490081e+07
0.025 0.135 0.155 1.989259090755971149e+07 1.669862165642038174e+07
0.025 0.145 0.145 9.022687064934302121e+06 7.698106773199141026e+06
0.025 0.145 0.155 1.240430671940014325e+07 9.406992632388954982e+06
0.025 0.145 0.165 1.768228700120174512e+07 1.506664154340044782e+07
0.025 0.155 0.155 8.281822449695898220e+06 6.925888202206884511e+06
0.025 0.155 0.165 1.024873127041568235e+07 8.494754118647070602e+06
0.025 0.155 0.175 1.457826290439420193e+07 1.365297221779110469e+07
0.025 0.165 0.165 7.395060719729403034e+06 6.257634721781259403e+06
0.025 0.165 0.175 8.885790469334624708e+06 7.702136408457087353e+06
0.025 0.165 0.185 1.244097119918691926e+07 1.242143325215416029e+07
0.025 0.175 0.175 6.216726491018507630e+06 5.675871991302387789e+06
0.025 0.175 0.185 7.914356455410195515e+06 7.009568969525737688e+06
0.025 0.175 0.195 1.089805456913506985e+07 1.134274359836850874e+07
0.025 0.185 0.185 5.890763449484309182e+06 5.166497625088579953e+06
0.025 0.185 0.195 7.225394274313297123e+06 6.401162301495123655e+06
0.025 0.185 0.205 1.068092522733240202e+07 1.039306251808635518e+07
0.025 0.195 0.195 5.879492948032967746e+06 4.718068688167239539e+06
0.025 0.195 0.205 6.891098490718621761e+06 5.863946457403928041e+06
0.025 0.195 0.215 1.056856521751303039e+07 9.552860148506056517e+06
0.025 0.205 0.205 5.256277480652662925e+06 4.321248914660970680e+06
0.025 0.205 0.215 6.712006031040941365e+06 5.387276956770461053e+06
0.025 0.205 0.225 9.906323129599722102e+06 8.806041554448334500e+06
0.025 0.215 0.215 4.528115795663868077e+06 3.968379396059013437e+06
0.025 0.215 0.225 5.918018076702386141e+06 4.962370812570101582e+06
0.025 0.215 0.235 8.956145402244450524e+06 8.139264784548851661e+06
0.025 0.225 0.225 4.470957107945083641e+06 3.653144157806431875e+06
0.025 0.225 0.235 5.180050493362033740e+06 4.581943103229525499e+06
0.025 0.225 0.245 7.646714268995975144e+06 7.541407382738635875e+06
0.025 0.235 0.235 3.964247712546255440e+06 3.370308563831790816e+06
0.025 0.235 0.245 4.772146079643303528e+06 4.239921137937096879e+06
0.025 0.235 0.255 6.846398059176371433e+06 7.003146776750863530e+06
0.025 0.245 0.245 3.687366896535102744e+06 3.115513695981887635e+06
0.025 0.245 0.255 4.518970261805447750e+06 3.931218584595575463e+06
0.025 0.245 0.265 6.452223977685801685e+06 6.516628363041985780e+06
0.025 0.255 0.255 3.446373118428847287e+06 2.885113886789187323e+06
0.025 0.255 0.265 4.280466020901646465e+06 3.651556074161808938e+06
0.025 0.255 0.275 6.124092208741886541e+06 6.075201450182224624e+06
0.025 0.265 0.265 3.172185547539021354e+06 2.676047656141361687e+06
0.025 0.265 0.275 3.975769546944723930e+06 3.397317971272289753e+06
0.025 0.265 0.285 5.918722789094882086e+06 5.673207986654674634e+06
0.025 0.275 0.275 2.931522700163004920e+06 2.485734625783298165e+06
0.025 0.275 0.285 3.664467305155166425e+06 3.165437416275581345e+06
0.025 0.275 0.295 5.400020924724753946e+06 5.305812572952433489e+06
0.025 0.285 0.285 2.673732831089263782e+06 2.311992737711270340e+06
0.025 0.285 0.295 3.405350970373645425e+06 2.953303574999838602e+06
0.025 0.295 0.295 2.541117701207530219e+06 2.152971424004070461e+06
0.035 0.035 0.035 1.670558764610521868e+07 2.871729244111854210e+07
0.035 0.035 0.045 1.114743188484640606e+07 2.848101074174191058e+07
0.035 0.035 0.055 3.375902299936402589e+07 3.642758570689073205e+07
0.035 0.035 0.065 5.043770968029094487e+07 5.496177817685849220e+07
0.035 0.045 0.045 1.751642573880930617e+07 2.366885388646933436e+07
0.035 0.045 0.055 2.005986447353560477e+07 2.471799918106370419e+07
0.035 0.045 0.065 2.796630072426493466e+07 3.227377482606628537e+07
0.035 0.045 0.075 4.106287995651368797e+07 4.742131352621985227e+07
0.035 0.055 0.055 1.629613691950261779e+07 2.026365777368491143e+07
0.035 0.055 0.065 1.734608276771583408e+07 2.146874111351651326e+07
0.035 0.055 0.075 2.596011710077495873e+07 2.814175066020907462e+07
0.035 0.055 0.085 4.096559872170258313e+07 4.070035334364011884e+07
0.035 0.065 0.065 1.487052002144761384e+07 1.748738602492896840e+07
0.035 0.065 0.075 1.662937365790873766e+07 1.863882675450912490e+07
0.035 0.065 0.085 2.461516129175139591e+07 2.445833451106590405e+07
0.035 0.065 0.095 3.829155181641919911e+07 3.504282771265631914e+07
0.035 0.075 0.075 1.447261610677794740e+07 1.515525170962599665e+07
0.035 0.075 0.085 1.632325275214545801e+07 1.621685925630990230e+07
0.035 0.075 0.095 2.426398513708556816e+07 2.130126589081430063e+07
0.035 0.075 0.105 3.298517651980752125e+07 3.035252369846615940e+07
0.035 0.085 0.085 1.546981384777745791e+07 1.319285837972071953e+07
0.035 0.085 0.095 1.396874836269054003e+07 1.416514511656800658e+07
0.035 0.085 0.105 2.055139773475275934e+07 1.863241887607154623e+07
0.035 0.085 0.115 2.822037561301913112e+07 2.646831553644876555e+07
0.035 0.095 0.095 1.102278032267132588e+07 1.154207300462001376e+07
0.035 0.095 0.105 1.180586857402482443e+07 1.243288617169569433e+07
0.035 0.095 0.115 1.750761946567691490e+07 1.638323514313845336e+07
0.035 0.095 0.125 2.214277508722931892e+07 2.323780338793795928e+07
0.035 0.105 0.105 9.352058699760140851e+06 1.015120730340163969e+07
0.035 0.105 0.115 1.049475562534865364e+07 1.096903869957850873e+07
0.035 0.105 0.125 1.373776293751524761e+07 1.448427774139245227e+07
0.035 0.105 0.135 1.886773355725779012e+07 2.053379312719789147e+07
0.035 0.115 0.115 8.675989949952667579e+06 8.975377226319491863e+06
0.035 0.115 0.125 1.007339391922831349e+07 9.727945657334487885e+06
0.035 0.115 0.135 1.246429161365973949e+07 1.287437711636971496e+07
0.035 0.115 0.145 1.680481766361411661e+07 1.825444038238853961e+07
0.035 0.125 0.125 8.498168658361954615e+06 7.976805740680388175e+06
0.035 0.125 0.135 9.487100595491951331e+06 8.670887817446468398e+06
0.035 0.125 0.145 1.236229075641708076e+07 1.150241923480014503e+07
0.035 0.125 0.155 1.688326760522469133e+07 1.631929584749352932e+07
0.035 0.135 0.135 7.592158863190743141e+06 7.124334335781685077e+06
0.035 0.135 0.145 8.825165942347975448e+06 7.765861200583782978e+06
0.035 0.135 0.155 1.184012360912851244e+07 1.032662678118976764e+07
0.035 0.135 0.165 1.586631564469480328e+07 1.466494263336756267e+07
0.035 0.145 0.145 6.993030507957302034e+06 6.392542465341750532e+06
0.035 0.145 0.155 7.961146427621471696e+06 6.986726475566647947e+06
0.035 0.145 0.165 1.077882973682319373e+07 9.313145573885707185e+06
0.035 0.145 0.175 1.430911537574750744e+07 1.324123499427356943e+07
0.035 0.155 0.155 6.161480430674979463e+06 5.760789333217804320e+06
0.035 0.155 0.165 6.718272464032333344e+06 6.312232281557669863e+06
0.035 0.155 0.175 9.111977287330269814e+06 8.434594358700452372e+06
0.035 0.155 0.185 1.163792465277476050e+07 1.200830218248420767e+07
0.035 0.165 0.165 5.530373469351443462e+06 5.212330260558534414e+06
0.035 0.165 0.175 5.919893819619777612e+06 5.725109527478445321e+06
0.035 0.165 0.185 7.930932618465679698e+06 7.668792108220105991e+06
0.035 0.165 0.195 1.013169642295919359e+07 1.093423386123354733e+07
0.035 0.175 0.175 5.035065637460812926e+06 4.733561245126062073e+06
0.035 0.175 0.185 5.270808181045625359e+06 5.211298721834923141e+06
0.035 0.175 0.195 7.100873900742329657e+06 6.997708145177829079e+06
0.035 0.175 0.205 9.288571608794670552e+06 9.993312033723279834e+06
0.035 0.185 0.185 4.400627689026831649e+06 4.313397725498583168e+06
0.035 0.185 0.195 4.996366906824536622e+06 4.759316299742486328e+06
0.035 0.185 0.205 6.827781794077578932e+06 6.406620140486287884e+06
0.035 0.185 0.215 8.918590910906985402e+06 9.164663427942873910e+06
0.035 0.195 0.195 4.241757473215986043e+06 3.942774140428336803e+06
0.035 0.195 0.205 4.708654033362346701e+06 4.359745125163260847e+06
0.035 0.195 0.215 6.617410695205003954e+06 5.883447476319456473e+06
0.035 0.195 0.225 8.605134848913671449e+06 8.431229957363385707e+06
0.035 0.205 0.205 3.898293931055352557e+06 3.614245060133012943e+06
0.035 0.205 0.215 4.334117737506972626e+06 4.004828756507787853e+06
0.035 0.205 0.225 5.869058112203499302e+06 5.418226104891801253e+06
0.035 0.205 0.235 8.026061394735390320e+06 7.778978494623419829e+06
0.035 0.215 0.215 3.612586237550762948e+06 3.321668790383262094e+06
0.035 0.215 0.225 4.075673133583602961e+06 3.688149600978772622e+06
0.035 0.215 0.235 5.388813806308887899e+06 5.002695161538186483e+06
0.035 0.215 0.245 7.140043890146757476e+06 7.196290753103795461e+06
0.035 0.225 0.225 3.197335439641479868e+06 3.059956699474009220e+06
0.035 0.225 0.235 3.596922950825891923e+06 3.404373743585931603e+06
0.035 0.225 0.245 4.678296588076750748e+06 4.629970965583048761e+06
0.035 0.225 0.255 6.174037342786791734e+06 6.673489177041568793e+06
0.035 0.235 0.235 3.068801476135328412e+06 2.824874410710971802e+06
0.035 0.235 0.245 3.206722661166877951e+06 3.149048322727736086e+06
0.035 0.235 0.255 4.318136904876844026e+06 4.294289095913698897e+06
0.035 0.235 0.265 5.569642438271841966e+06 6.202466057530250400e+06
0.035 0.245 0.245 2.766253633560878690e+06 2.612883741882773116e+06
0.035 0.245 0.255 2.967273360487179831e+06 2.918440173827279825e+06
0.035 0.245 0.265 4.064929100339077879e+06 3.990799483582066838e+06
0.035 0.245 0.275 5.399813778024872765e+06 5.776391458373307250e+06
0.035 0.255 0.255 2.538803287876362912e+06 2.421016618147674948e+06
0.035 0.255 0.265 2.883729360567419324e+06 2.709406868323078845e+06
0.035 0.255 0.275 3.808215094955035485e+06 3.715402872217576019e+06
0.035 0.255 0.285 5.086825728866602294e+06 5.389481693411660381e+06
0.035 0.265 0.265 2.297373941206216346e+06 2.246774095938916318e+06
0.035 0.265 0.275 2.672780132080941927e+06 2.519293219343679957e+06
0.035 0.265 0.285 3.604258483254690655e+06 3.464619659194260836e+06
0.035 0.265 0.295 4.789472125422134995e+06 5.036814629823643714e+06
0.035 0.275 0.275 2.232081971175406128e+06 2.088045152294570813e+06
0.035 0.275 0.285 2.500094319817852695e+06 2.345847860034564044e+06
