# k1 k2 k3 mean_bk mean_bk_smooth
0.005 0.005 0.005 -6.372354114369756280e+04 2.720578274282085476e+05
0.005 0.015 0.015 1.424734502469829749e+05 4.194228974070471013e+05
0.005 0.025 0.025 4.600275204202454770e+05 3.678722980873632478e+05
0.005 0.035 0.035 3.556197513310028007e+05 2.966965396427281084e+05
0.005 0.045 0.045 2.647463243726916844e+05 2.375575484923085605e+05
0.005 0.055 0.055 1.943481993910978781e+05 1.924225632827968802e+05
0.005 0.065 0.065 2.000075100434323540e+05 1.583833832690825220e+05
0.005 0.075 0.075 1.636418871331066766e+05 1.324919009222915338e+05
0.005 0.085 0.085 1.515310252189739840e+05 1.125061083877297351e+05
0.005 0.095 0.095 1.247142222781090386e+05 9.682891104121740500e+04
0.005 0.105 0.105 1.075009393936789711e+05 8.433651035541300371e+04
0.005 0.115 0.115 9.636101805420139863e+04 7.423367329268604226e+04
0.005 0.125 0.125 8.687821820764031145e+04 6.595073631723628205e+04
0.005 0.135 0.135 7.993404850008255744e+04 5.907368179738945037e+04
0.005 0.145 0.145 7.452105599024017283e+04 5.329713234042831755e+04
0.005 0.155 0.155 6.812246414387733967e+04 4.839260579261221574e+04
0.005 0.165 0.165 5.821017980098671251e+04 4.418684593849079101e+04
0.005 0.175 0.175 5.182974281826313381e+04 4.054683452609754750e+04
0.005 0.185 0.185 4.968734466232805426e+04 3.736927844683629519e+04
0.005 0.195 0.195 4.448572720144171035e+04 3.457313213055945380e+04
0.005 0.205 0.205 4.313666143315040244e+04 3.209420637472577801e+04
0.005 0.215 0.215 4.276671253673493629e+04 2.988123096999291374e+04
0.005 0.225 0.225 3.728839536591838259e+04 2.789294381907369097e+04
0.005 0.235 0.235 3.452825737158685661e+04 2.609591413116071271e+04
0.005 0.245 0.245 3.386450579948192171e+04 2.446289698251260415e+04
0.005 0.255 0.255 3.099850235768941275e+04 2.297157695530652200e+04
0.005 0.265 0.265 2.850353333241163637e+04 2.160359977633576273e+04
0.005 0.275 0.275 2.715800764387671370e+04 2.034381932882041656e+04
0.005 0.285 0.285 2.623099360923690256e+04 1.917970728673244230e+04
0.005 0.295 0.295 2.366525297223000962e+04 1.810088666374088643e+04
0.015 0.015 0.015 5.122761956028928398e+05 5.216290097935830127e+05
0.015 0.015 0.025 6.141245901085592341e+05 5.383554183239311678e+05
0.015 0.025 0.025 4.894920282577528269e+05 4.632025400544988224e+05
0.015 0.025 0.035 4.578968517669904395e+05 4.766110705906913499e+05
0.015 0.035 0.035 4.145018984491181909e+05 3.791917106584729045e+05
0.015 0.035 0.045 3.871207264987270464e+05 3.960156791330588749e+05
0.015 0.045 0.045 3.049050973804559326e+05 3.073886595665179775e+05
0.015 0.045 0.055 3.071877768576708622e+05 3.269925413566700881e+05
0.015 0.055 0.055 2.611139191520422464e+05 2.514892183157567342e+05
0.015 0.055 0.065 2.709476871922582504e+05 2.722579169464141014e+05
0.015 0.065 0.065 2.442985462954745453e+05 2.086755902685673209e+05
0.015 0.065 0.075 2.393667477966583974e+05 2.294417778937413241e+05
0.015 0.075 0.075 1.937337582896653330e+05 1.757011026921849407e+05
0.015 0.075 0.085 2.280869354397391144e+05 1.957905284279003972e+05
0.015 0.085 0.085 1.754070003085646022e+05 1.499855777936745144e+05
0.015 0.085 0.095 1.917505581072505447e+05 1.690595851823791163e+05
0.015 0.095 0.095 1.434321896168056410e+05 1.296413207508581108e+05
0.015 0.095 0.105 1.582885258877228189e+05 1.475628430115648662e+05
0.015 0.105 0.105 1.270995734099176771e+05 1.133138496433642285e+05
0.015 0.105 0.115 1.346621810468685580e+05 1.300598875160619937e+05
0.015 0.115 0.115 1.054909278120683157e+05 1.000297163067116344e+05
0.015 0.115 0.125 1.172600266722505185e+05 1.156385396749302017e+05
0.015 0.125 0.125 1.029730619822002918e+05 8.908260633627012430e+04
0.015 0.125 0.135 1.110507707183332532e+05 1.036229403365056205e+05
0.015 0.135 0.135 9.541085675286492915e+04 7.995360905980027746e+04
0.015 0.135 0.145 1.068103996995725465e+05 9.350701144894133904e+04
0.015 0.145 0.145 8.714965375541146204e+04 7.225642365649879503e+04
0.015 0.145 0.155 9.858782250462645607e+04 8.490742017815276631e+04
0.015 0.155 0.155 7.539428157282319444e+04 6.569970650616321655e+04
0.015 0.155 0.165 8.581446191098676354e+04 7.753045006648790149e+04
0.015 0.165 0.165 6.609235128863007412e+04 6.006099831124015327e+04
0.015 0.165 0.175 7.622889802202882129e+04 7.114855004730522342e+04
0.015 0.175 0.175 6.286809869333636016e+04 5.516846935536302772e+04
0.015 0.175 0.185 6.826349131819597096e+04 6.558358592584595317e+04
0.015 0.185 0.185 5.847751275948767579e+04 5.088797968111367663e+04
0.015 0.185 0.195 6.394280364600490429e+04 6.069475190494000708e+04
0.015 0.195 0.195 5.393047209767668392e+04 4.711378985782230302e+04
0.015 0.195 0.205 6.119512847978743957e+04 5.636974817233871727e+04
0.015 0.205 0.205 5.147342390927523957e+04 4.376180884691930987e+04
0.015 0.205 0.215 5.807466978020697570e+04 5.251827032156351197e+04
0.015 0.215 0.215 4.731734052913708729e+04 4.076462679477710481e+04
0.015 0.215 0.225 5.449955499095380947e+04 4.906715269445119338e+04
0.015 0.225 0.225 4.316665405302515865e+04 3.806781894737119001e+04
0.015 0.225 0.235 4.979221908883734432e+04 4.595670782247518946e+04
0.015 0.235 0.235 4.013561826433905662e+04 3.562716555573105870e+04
0.015 0.235 0.245 4.483265408988126728e+04 4.313794012670846860e+04
0.015 0.245 0.245 3.868580976170432405e+04 3.340653939631768299e+04
0.015 0.245 0.255 4.222299290641131665e+04 4.057040525155400246e+04
0.015 0.255 0.255 3.630457335853363475e+04 3.137628517065714186e+04
0.015 0.255 0.265 4.017107510620263929e+04 3.822055092641007650e+04
0.015 0.265 0.265 3.383299471503974200e+04 2.951196504484567777e+04
0.015 0.265 0.275 3.817254850889100635e+04 3.606042035878171009e+04
0.015 0.275 0.275 3.233413221552984396e+04 2.779337939196028674e+04
0.015 0.275 0.285 3.577962767082646315e+04 3.406663102228656498e+04
0.015 0.285 0.285 2.966689647955112741e+04 2.620379629434160961e+04
0.015 0.285 0.295 3.392669877475535759e+04 3.221956443060905076e+04
0.015 0.295 0.295 2.797180635297423578e+04 2.472934078530281840e+04
0.025 0.025 0.025 5.322430560993177351e+05 4.248813719508898794e+05
0.025 0.025 0.035 4.352454765663221478e+05 3.974759848101714160e+05
0.025 0.025 0.045 4.516435304277579417e+05 4.261459507141076028e+05
0.025 0.035 0.035 3.048707633843122167e+05 3.443085526658306480e+05
0.025 0.035 0.045 3.475001075697897468e+05 3.274166354918229044e+05
0.025 0.035 0.055 3.596972820775856962e+05 3.568356579359761090e+05
0.025 0.045 0.045 2.620131585558781808e+05 2.787700016036799643e+05
0.025 0.045 0.055 2.719528964016556856e+05 2.685530999759560218e+05
0.025 0.045 0.065 2.800786985096973367e+05 2.966705365900926408e+05
0.025 0.055 0.055 2.143699882893257600e+05 2.280355946443160356e+05
0.025 0.055 0.065 2.249176225454031664e+05 2.223057202882714628e+05
0.025 0.055 0.075 2.474147911479404429e+05 2.485380520421948167e+05
0.025 0.065 0.065 2.132685723093074048e+05 1.891952822605972469e+05
0.025 0.065 0.075 2.047786816583292966e+05 1.864142029761250596e+05
0.025 0.065 0.085 2.258852583469030506e+05 2.106104232181817351e+05
0.025 0.075 0.075 1.721361757424075040e+05 1.592756991340329987e+05
0.025 0.075 0.085 1.827347314911987924e+05 1.584076661115761090e+05
0.025 0.075 0.095 2.094641402399312356e+05 1.806080849552953732e+05
0.025 0.085 0.085 1.571326665485774283e+05 1.359399561912346981e+05
0.025 0.085 0.095 1.559669491389446193e+05 1.363036969607843494e+05
0.025 0.085 0.105 1.844244233865702408e+05 1.566364703102708736e+05
0.025 0.095 0.095 1.281481638181968156e+05 1.174787836909174512e+05
0.025 0.095 0.105 1.300845694317441230e+05 1.186286153944515099e+05
0.025 0.095 0.115 1.462776589468315069e+05 1.372566677147648588e+05
0.025 0.105 0.105 1.036201799807210045e+05 1.026643671082046494e+05
0.025 0.105 0.115 1.113541167470049986e+05 1.043079865628902917e+05
0.025 0.105 0.125 1.226220958456673543e+05 1.214014433815769298e+05
0.025 0.115 0.115 9.951022709380846936e+04 9.061342822620467632e+04
0.025 0.115 0.125 1.008325100514080550e+05 9.255815958236914594e+04
0.025 0.115 0.135 1.113782263017765217e+05 1.082806111147418560e+05
0.025 0.125 0.125 9.113781698557249911e+04 8.068465917441314377e+04
0.025 0.125 0.135 9.467102431824362429e+04 8.280290516514587216e+04
0.025 0.125 0.145 1.080585252490965504e+05 9.730517473238645471e+04
0.025 0.135 0.135 8.741776548112503951e+04 7.240673254584221286e+04
0.025 0.135 0.145 8.986610784334747586e+04 7.461377737125792191e+04
0.025 0.135 0.155 1.026144130718512897e+05 8.803169034484568692e+04
0.025 0.145 0.145 7.535836192031549581e+04 6.542871217229581089e+04
0.025 0.145 0.155 8.061972588945593452e+04 6.766835973966890015e+04
0.025 0.145 0.165 9.239664361465802358e+04 8.012257690784585429e+04
0.025 0.155 0.155 6.701155984821075981e+04 5.948591899991311220e+04
0.025 0.155 0.165 6.970536751075104985e+04 6.172110590587084880e+04
0.025 0.155 0.175 7.964259165699721780e+04 7.331796006143419072e+04
0.025 0.165 0.165 5.984003798700128391e+04 5.437626690469203459e+04
0.025 0.165 0.175 6.330821163062681444e+04 5.658285785899350594e+04
0.025 0.165 0.185 7.054785658691925346e+04 6.741561926338098419e+04
0.025 0.175 0.175 5.503822736001319572e+04 4.994368156189947331e+04
0.025 0.175 0.185 5.809210289721283334e+04 5.210632219004745275e+04
0.025 0.175 0.195 6.360465412097454828e+04 6.225658874431630829e+04
0.025 0.185 0.185 5.197538603656439227e+04 4.606634129587862844e+04
0.025 0.185 0.195 5.374593542187256389e+04 4.817565653284324071e+04
0.025 0.185 0.205 6.077010206957549963e+04 5.771471384865805157e+04
0.025 0.195 0.195 4.897011280708460254e+04 4.264823313183677965e+04
0.025 0.195 0.205 5.099886968455138413e+04 4.469891608323276887e+04
0.025 0.195 0.215 5.900994438929054741e+04 5.368899461478564626e+04
0.025 0.205 0.205 4.567212427472982381e+04 3.961301432570484758e+04
0.025 0.205 0.215 4.797064343916532380e+04 4.160251115503340407e+04
0.025 0.205 0.225 5.541164805466122198e+04 5.009791189051292167e+04
0.025 0.215 0.215 4.138857990407050238e+04 3.689949652005333337e+04
0.025 0.215 0.225 4.388518837114472262e+04 3.882709458100132179e+04
0.025 0.215 0.235 5.139290222182420257e+04 4.687517812933702953e+04
0.025 0.225 0.225 3.895035957595171931e+04 3.445828570437094459e+04
0.025 0.225 0.235 3.986994977383186779e+04 3.632447720864658186e+04
0.025 0.225 0.245 4.627398105412368022e+04 4.396652277932205470e+04
0.025 0.235 0.235 3.622392898305878771e+04 3.224925515313445430e+04
0.025 0.235 0.245 3.766897054645562457e+04 3.405529081607286207e+04
0.025 0.235 0.255 4.256441164234949974e+04 4.132723682347772410e+04
0.025 0.245 0.245 3.375861747318026755e+04 3.023962548394682744e+04
0.025 0.245 0.255 3.584443643531477574e+04 3.198720021913784149e+04
0.025 0.245 0.265 4.041919243784507853e+04 3.892028000450901891e+04
0.025 0.255 0.255 3.248420786233499166e+04 2.840249200203753207e+04
0.025 0.255 0.265 3.384873659645484440e+04 3.009352305394291034e+04
0.025 0.255 0.275 3.816296436876076041e+04 3.671480917054628662e+04
0.025 0.265 0.265 3.020568103935616455e+04 2.671568495993773831e+04
0.025 0.265 0.275 3.174123927673136859e+04 2.835215514082517984e+04
0.025 0.265 0.285 3.652468232464365428e+04 3.468502472133537958e+04
0.025 0.275 0.275 2.832046210382171557e+04 2.516088001653263927e+04
0.025 0.275 0.285 2.995143945364605315e+04 2.674472702800312982e+04
0.025 0.275 0.295 3.394639582471233007e+04 3.280925945963639242e+04
0.025 0.285 0.285 2.636388981622369101e+04 2.372289846238824248e+04
0.025 0.285 0.295 2.802457512098782536e+04 2.525593696643086514e+04
0.025 0.295 0.295 2.502151489649785799e+04 2.238915262915172571e+04
0.035 0.035 0.035 2.616883623507198936e+05 3.016869163631761912e+05
0.035 0.035 0.045 2.165060933135972300e+05 2.753273077450494748e+05
0.035 0.035 0.055 2.695994293018723256e+05 2.729444547184564872e+05
0.035 0.035 0.065 2.842914880128858495e+05 2.995933565424862318e+05
0.035 0.045 0.045 2.075733235830108752e+05 2.404308585560178326e+05
0.035 0.045 0.055 1.944320812633532914e+05 2.236963044386091060e+05
0.035 0.045 0.065 2.153050192298476759e+05 2.261120628922914329e+05
0.035 0.045 0.075 2.281325769965704822e+05 2.494443876004409685e+05
0.035 0.055 0.055 1.781712960766653996e+05 1.955425334771049093e+05
0.035 0.055 0.065 1.740471559339163941e+05 1.842631786021512817e+05
0.035 0.055 0.075 1.866875339050613984e+05 1.887019148629731790e+05
0.035 0.055 0.085 2.104684278398624156e+05 2.092270263948007196e+05
0.035 0.065 0.065 1.571242156280295167e+05 1.617621694298462826e+05
0.035 0.065 0.075 1.542731895436034247e+05 1.539953619561025407e+05
0.035 0.065 0.085 1.636953132826329675e+05 1.593126044061289867e+05
0.035 0.065 0.095 1.879334809668387461e+05 1.775126805766957987e+05
0.035 0.075 0.075 1.396307472933943791e+05 1.359275726565421501e+05
0.035 0.075 0.085 1.365489078183684032e+05 1.305228972379815968e+05
0.035 0.075 0.095 1.466943871616648394e+05 1.361595737365355308e+05
0.035 0.075 0.105 1.627700437416344939e+05 1.524169073091700557e+05
0.035 0.085 0.085 1.231525407371720066e+05 1.158563266826641338e+05
0.035 0.085 0.095 1.136008658048080833e+05 1.120782045091072796e+05
0.035 0.085 0.105 1.251691845697897515e+05 1.177421013775127940e+05
0.035 0.085 0.115 1.393955537937445624e+05 1.323591438111171010e+05
0.035 0.095 0.095 9.934379797611273534e+04 1.000180409400005447e+05
0.035 0.095 0.105 9.592551399260960170e+04 9.738001313234871486e+04
0.035 0.095 0.115 1.071495607974262966e+05 1.029164232481406943e+05
0.035 0.095 0.125 1.145251184932705073e+05 1.161364572683754232e+05
0.035 0.105 0.105 8.426379960135377769e+04 8.733221641372943122e+04
0.035 0.105 0.115 8.369291147631547938e+04 8.550532209275793866e+04
0.035 0.105 0.125 8.926057725508703152e+04 9.083493568498466630e+04
0.035 0.105 0.135 9.923947957305269665e+04 1.028565941445349308e+05
0.035 0.115 0.115 7.525704471564001869e+04 7.702819493998639518e+04
0.035 0.115 0.125 7.671092914340276911e+04 7.578584787097008666e+04
0.035 0.115 0.135 7.965734173035700223e+04 8.087199070677027339e+04
0.035 0.115 0.145 8.930952507225984300e+04 9.185931914341695665e+04
0.035 0.125 0.125 7.206109162590786582e+04 6.854924136432480009e+04
0.035 0.125 0.135 7.163538094189245021e+04 6.773280011079595715e+04
0.035 0.125 0.145 7.752418666792253498e+04 7.256317912239974248e+04
0.035 0.125 0.155 8.570471860347082838e+04 8.265286272265719890e+04
0.035 0.135 0.135 6.573476760819242918e+04 6.148755805099929421e+04
0.035 0.135 0.145 6.591444007885035535e+04 6.098430357561259734e+04
0.035 0.135 0.155 7.229256469268730143e+04 6.556048702567386499e+04
0.035 0.135 0.165 7.985637280610151356e+04 7.486722939591351314e+04
0.035 0.145 0.145 5.937479808744778711e+04 5.554026532939819299e+04
0.035 0.145 0.155 5.918832926886894711e+04 5.526903757696737739e+04
0.035 0.145 0.165 6.537150669096600905e+04 5.960026306859519536e+04
0.035 0.145 0.175 7.229111804392522026e+04 6.822089910845465783e+04
0.035 0.155 0.155 5.233689302315223904e+04 5.047937877772175852e+04
0.035 0.155 0.165 5.210004174894014432e+04 5.038104136931665562e+04
0.035 0.155 0.175 5.717991552836546907e+04 5.448052662956193672e+04
0.035 0.155 0.185 6.272547424738515838e+04 6.249722846446840413e+04
0.035 0.165 0.165 4.700673463316151174e+04 4.613111370058237662e+04
0.035 0.165 0.175 4.715082608311208605e+04 4.616211833261877473e+04
0.035 0.165 0.185 5.147192181015773531e+04 5.004485379586659110e+04
0.035 0.165 0.195 5.615785835879742808e+04 5.752766447973727918e+04
0.035 0.175 0.175 4.464614312708564830e+04 4.236144074616282160e+04
0.035 0.175 0.185 4.320809759945921542e+04 4.248941579079241637e+04
0.035 0.175 0.195 4.688415367839186365e+04 4.617084954495854618e+04
0.035 0.175 0.205 5.110004975831521733e+04 5.317970629992028989e+04
0.035 0.185 0.185 4.036053517691364686e+04 3.906587197837948042e+04
0.035 0.185 0.195 4.117462268366898206e+04 3.926655440509843902e+04
0.035 0.185 0.205 4.490929947414834169e+04 4.276182091003031383e+04
0.035 0.185 0.215 4.893951055530816666e+04 4.934818401797038678e+04
0.035 0.195 0.195 3.767625477684025827e+04 3.616214351182847167e+04
0.035 0.195 0.205 3.820163179123715963e+04 3.641721596567337110e+04
0.035 0.195 0.215 4.248903732281825796e+04 3.974069845519069349e+04
0.035 0.195 0.225 4.641063418217975413e+04 4.594887163230037550e+04
0.035 0.205 0.205 3.526047591790214938e+04 3.358490629107371933e+04
0.035 0.205 0.215 3.576070736981165828e+04 3.388045291046310012e+04
0.035 0.205 0.225 3.856824622298040777e+04 3.704555095846594486e+04
0.035 0.205 0.235 4.353458067285941797e+04 4.291375799887541507e+04
0.035 0.215 0.215 3.267602972674118791e+04 3.128182676991417247e+04
0.035 0.215 0.225 3.299366673531473498e+04 3.160721770686196760e+04
0.035 0.215 0.235 3.626387323497881880e+04 3.462624042502021621e+04
0.035 0.215 0.245 4.005677436073380522e+04 4.018750776032404974e+04
0.035 0.225 0.225 3.014540515656099160e+04 2.921068982599652736e+04
0.035 0.225 0.235 3.050321586443711203e+04 2.955776658099219276e+04
0.035 0.225 0.245 3.279366830370837124e+04 3.244190181746952658e+04
0.035 0.225 0.255 3.631609440731379436e+04 3.772478547317200719e+04
0.035 0.235 0.235 2.859998395887005245e+04 2.733722271530649959e+04
0.035 0.235 0.245 2.821398008242216747e+04 2.769969706336448144e+04
0.035 0.235 0.255 3.080800296311425336e+04 3.045902547330910966e+04
0.035 0.235 0.265 3.332707193731558800e+04 3.548821251843259961e+04
0.035 0.245 0.245 2.640169651544879525e+04 2.563344375332559866e+04
0.035 0.245 0.255 2.655594766501709819e+04 2.600645001639683323e+04
