# k1 k2 k3 mean_bk mean_bk_smooth
0.005 0.005 0.005 -5.012862647865108556e+03 1.309466523336882801e+03
0.005 0.015 0.015 3.488640396727211055e+02 1.947976189847882779e+03
0.005 0.025 0.025 2.226019491695037686e+03 1.747299471702639721e+03
0.005 0.035 0.035 2.040750317012273626e+03 1.448526003471187323e+03
0.005 0.045 0.045 1.373324065894866180e+03 1.195299357413115104e+03
0.005 0.055 0.055 1.060160952337291064e+03 9.999977584808221991e+02
0.005 0.065 0.065 1.015783457538539551e+03 8.516341639210372705e+02
0.005 0.075 0.075 9.747209731518263425e+02 7.380808298042621800e+02
0.005 0.085 0.085 8.621035909417806806e+02 6.498808176858343586e+02
0.005 0.095 0.095 7.527018864078499973e+02 5.802154534842984503e+02
0.005 0.105 0.105 6.234365862724592944e+02 5.242535592180075810e+02
0.005 0.115 0.115 5.616458157904683048e+02 4.785620575974624558e+02
0.005 0.125 0.125 6.061343847474087170e+02 4.406752997768747946e+02
0.005 0.135 0.135 5.353393519269293392e+02 4.087986070715301139e+02
0.005 0.145 0.145 4.975693727230256513e+02 3.816072970436913465e+02
0.005 0.155 0.155 4.537201589308596681e+02 3.581102051189378699e+02
0.005 0.165 0.165 4.185893944996421396e+02 3.375561671224849647e+02
0.005 0.175 0.175 3.904727015804653547e+02 3.193691583632110564e+02
0.005 0.185 0.185 3.810316790868059798e+02 3.031027061270168588e+02
0.005 0.195 0.195 3.633886973468286214e+02 2.884074129605052690e+02
0.005 0.205 0.205 3.581019430127252576e+02 2.750075121825620386e+02
0.005 0.215 0.215 3.417477613631394888e+02 2.626837273050936687e+02
0.005 0.225 0.225 3.260410958166659157e+02 2.512605881524858376e+02
0.005 0.235 0.235 3.010957751610161495e+02 2.405969372867026266e+02
0.005 0.245 0.245 2.995730450443502946e+02 2.305787476417691266e+02
0.005 0.255 0.255 2.789640224893555001e+02 2.211136336529336859e+02
0.005 0.265 0.265 2.834231590086695292e+02 2.121266167153015658e+02
0.005 0.275 0.275 2.593862415301263127e+02 2.035568292319740920e+02
0.005 0.285 0.285 2.517331377829603412e+02 1.953549278204785935e+02
0.005 0.295 0.295 2.414383332373130600e+02 1.874810472729626554e+02
0.015 0.015 0.015 1.839804233462389675e+03 2.350240768756899797e+03
0.015 0.015 0.025 3.025198867554468507e+03 2.285132705568820711e+03
0.015 0.025 0.025 2.256215910458882718e+03 2.122526142908339807e+03
0.015 0.025 0.035 2.417629178217949629e+03 2.007053103449493847e+03
0.015 0.035 0.035 2.223409045382205022e+03 1.777133646526182929e+03
0.015 0.035 0.045 1.835133182583873577e+03 1.684627963632665114e+03
0.015 0.045 0.045 1.546378169631825813e+03 1.480015650766347790e+03
0.015 0.045 0.055 1.553686362610679453e+03 1.416495258521183359e+03
0.015 0.055 0.055 1.439865976413141425e+03 1.248012435875093161e+03
0.015 0.055 0.065 1.365373404550840860e+03 1.207181628158314652e+03
0.015 0.065 0.065 1.349608541819159200e+03 1.069890728327755141e+03
0.015 0.065 0.075 1.241388538848391136e+03 1.045131314345257579e+03
0.015 0.075 0.075 1.114863619796121839e+03 9.323141973300528207e+02
0.015 0.075 0.085 1.158605757317083544e+03 9.186380413399654117e+02
0.015 0.085 0.085 9.767904453746155014e+02 8.246147244033544439e+02
0.015 0.085 0.095 9.721168755647440776e+02 8.185494231229631623e+02
0.015 0.095 0.095 8.847972723750675641e+02 7.389719836225079916e+02
0.015 0.095 0.105 8.710589047704811492e+02 7.381496985530669690e+02
0.015 0.105 0.105 7.085276155572520338e+02 6.697734141656089832e+02
0.015 0.105 0.115 7.876121140598057764e+02 6.725808338947250604e+02
0.015 0.115 0.115 7.018506254790238472e+02 6.129878208865766283e+02
0.015 0.115 0.125 7.024671646922781747e+02 6.183185008697590774e+02
0.015 0.125 0.125 6.618390558681556968e+02 5.656933567422880742e+02
0.015 0.125 0.135 6.553582613487436674e+02 5.727816012164666972e+02
0.015 0.135 0.135 6.418918359764126080e+02 5.257463007996602755e+02
0.015 0.135 0.145 6.686161140811622090e+02 5.340572701024418620e+02
0.015 0.145 0.145 5.826758552656401662e+02 4.915532694818152777e+02
0.015 0.145 0.155 5.903596503308389174e+02 5.007101693136380618e+02
0.015 0.155 0.155 5.267620169838503443e+02 4.619147094073406379e+02
0.015 0.155 0.165 5.358451025926630109e+02 4.716501547457093579e+02
0.015 0.165 0.165 4.765393448709671134e+02 4.359165834937745103e+02
0.015 0.165 0.175 5.098038977282294013e+02 4.460397530048381896e+02
0.015 0.175 0.175 4.593691713471796447e+02 4.128545930000450426e+02
0.015 0.175 0.185 4.713386683920477935e+02 4.232287801381735903e+02
0.015 0.185 0.185 4.469440804014960804e+02 3.921805065820862524e+02
0.015 0.185 0.195 4.562924576082032786e+02 4.027075894715404729e+02
0.015 0.195 0.195 4.474609260796291892e+02 3.734636621028608943e+02
0.015 0.195 0.205 4.388301297317006515e+02 3.840732320633628660e+02
0.015 0.205 0.205 4.305457582261778384e+02 3.563630039816496833e+02
0.015 0.205 0.215 4.351872867955922288e+02 3.670046685706074072e+02
0.015 0.215 0.215 3.842580908499132875e+02 3.406065258469473065e+02
0.015 0.215 0.225 4.034121303423422660e+02 3.512444005906571647e+02
0.015 0.225 0.225 3.795240965290590225e+02 3.259759820695230701e+02
0.015 0.225 0.235 3.842409993841557139e+02 3.365847082790049285e+02
0.015 0.235 0.235 3.481529664898419014e+02 3.122953928959759651e+02
0.015 0.235 0.245 3.571705883569107414e+02 3.228572309868557682e+02
0.015 0.245 0.245 3.428325437199263206e+02 2.994223123624801701e+02
0.015 0.245 0.255 3.433373863542769868e+02 3.099250007984542208e+02
0.015 0.255 0.255 3.360935538847576254e+02 2.872411303297091649e+02
0.015 0.255 0.265 3.393243497301900788e+02 2.976762947611525760e+02
0.015 0.265 0.265 3.187531570098954035e+02 2.756578877604638365e+02
0.015 0.265 0.275 3.203365685975554129e+02 2.860198490525434067e+02
0.015 0.275 0.275 3.080970425616634429e+02 2.645962288667391249e+02
0.015 0.275 0.285 3.085073786481135016e+02 2.748811027182389921e+02
0.015 0.285 0.285 2.894950189504788796e+02 2.539942153664596844e+02
0.015 0.285 0.295 2.989627309226055445e+02 2.641992267365736780e+02
0.015 0.295 0.295 2.850966727529808509e+02 2.438018003077118578e+02
0.025 0.025 0.025 2.915781624421778815e+03 2.003341470605569839e+03
0.025 0.025 0.035 2.212060082167215114e+03 1.847582429604848357e+03
0.025 0.025 0.045 2.053856163008862950e+03 1.765373251247543294e+03
0.025 0.035 0.035 1.638972793759377282e+03 1.671058653426229966e+03
0.025 0.035 0.045 1.748981709740388396e+03 1.544910032699162457e+03
0.025 0.035 0.055 1.615550964773495707e+03 1.490788741558700849e+03
